Author,Rating,Review,Restaurant,Location,Label,Language
S.Y. Ding,5," Popiah yang bagus, saya suka popiah. Saya sangat suka popiah.",Poh Piah Lwee,Melaka,Positive,Malay
Ken Chong,4,"A must try when you're in Ipoh. we had the fish noodle Wat Dan hor, fried hor fun, baby octopus and the chicken feet. All were cooked to perfection. Can't wait to go back for second round.",Ipoh Tuck Kee Restaurant 德记炒粉专门店,Ipoh,Positive,English
H.,3,Nothing really special,Foh San Restaurant,Ipoh,Neutral,English
Jo huang,5, Salah satu tempat makan malam terbaik di Pelangi. Kuaytiao sup sangat kaya. Plus sangat berpatutan. Sangat disyorkan. Sangat disyorkan. Sangat disyorkan. Sangat disyorkan. Sangat murah.,海皇粿条仔Restaurant Hi Wan,JB,Positive,Malay
zaeim ismail,3,been there couple mnths back. visited again tonight. ordered kfry spicy yangnyeom just like before. the heat is getting less.. nor i can say no heat at all. please gt bck like d early days,K Fry Urban Korean Holiday Villa,JB,Neutral,English
Esther G. Jayaraja,4, Mee goreng yang hebat! Hor fun moonlight sangat hebat. Sila cuba octopus serta bebola babi!!,Ipoh Tuck Kee Restaurant 德记炒粉专门店,Ipoh,Positive,Malay
Dzin Norain,5,"the Dim Sum is nice n delicious , portion is is just nice n is reasonable :Dspacious area wit Social Distancing during RMCO",Ming Court Hong Kong Dim Sum 明阁香港点心,Ipoh,Positive,English
Nedu Chalian,1,"Shame 2 say the food is very bad the wrost indian meal i ever had,service is good",Anderson Curry House,Ipoh,Negative,English
SALLY,5," Hanya hidangan burger dengan kentang goreng dan salad dan minuman sahaja. Tiada sup, kek, pizza atau mi. Kopi yang sedap dengan burger terbaik yang pernah saya cuba. Saya pernah mencuba burger terbaik. Saya tidak mempunyai burger terbaik. Saya tidak mempunyai burger terbaik.",The Baboon House,Melaka,Positive,Malay
wenny Alimodo,5,"When we think about celebrations, Wengkee is the 1st place in mind. This is my absolute favorite restaurant.Excellent and fantastic food. Menu is extensive and seasonal to a particularly",Weng Kee Seafood Restaurant（永記海鮮飯店）,Ipoh,Positive,English
Young,5,"I was impressed by the Chinese eating out culture, who came to eat dim sum early on weekdays. If you don't go early in the morning, you can't eat because things are sold out.",Ming Court Hong Kong Dim Sum 明阁香港点心,Ipoh,Positive,English
Hadi Tan,4,This restaurant serve good VieThames food n great coffee too.,越南小廚 V NAM KITCHEN,Ipoh,Positive,English
Shan Shankar,5,I love their mutton briyani.. so nice should try,Amma Restaurant,JB,Positive,English
PK Chong,4,Tasty pizza,MichelangelO's Pizzeria,Ipoh,Positive,English
Chunyang Chen,2, Masa menunggu yang panjang dan makanan biasa. Tunggu yang terlalu lama dan makanan biasa. Terlalu banyak yang perlu dibayar. Ia terlalu mahal dan tidak sesuai untuk makanan biasa.,Choon Hui Cafe,Kuching,Negative,Malay
mustazrin mustapa,2, Sangat tidak masuk akal.,Serapi Virgin Coconut Milk Shake,Kuching,Negative,Malay
boboki69,3,Food and tea are overrated and the service is fine. The only good thing is the environment is cosy and great.,STG Tea House Cafe,Ipoh,Neutral,English
Kenny Chin,3,"Tried their fish head hotpot, would be better if there's more ingredient than soup. Fried noodle and rice is not found in their extensive ala-carte menu",Yi Jia Seafood Sdn. Bhd.,JB,Neutral,English
Sheng Hing,4,"This mall has nice look ( very fashionable). There is many stalls in there and also supermarket/ hypermarket available inside so don't worry. If you're thirsty, just grab some drinks inside.It's quite cheap actually. Oh ya there a cinema",The Spring,Kuching,Positive,English
